"nachname","vorname","ort","partei","titel","geschaeftsnummer"
"Dätwyler Weber","Barbara","Frauenfeld","SP","Einfache Anfrage von Sabina Peter Köstli, Barbara Dätwyler Weber vom 3. Juli 2024 \"Schutz und Prävention für Sexarbeitende im Thurgau\"","2024/EA 8/38"
"Schildknecht","Benno","Hagenwil b. Amriswil","Die Mitte","Motion von Benno Schildknecht, Andreas Guhl, Josef Gemperle, Daniel Vetterli vom 3. Juli 2024 \"Anpassung Thurgauer Enteignungsgesetz TG EntG\"","2024/MO 5/39"
"Guhl","Andreas","Oppikon","Die Mitte","Motion von Benno Schildknecht, Andreas Guhl, Josef Gemperle, Daniel Vetterli vom 3. Juli 2024 \"Anpassung Thurgauer Enteignungsgesetz TG EntG\"","2024/MO 5/39"
"Gemperle","Josef","Fischingen","Die Mitte","Motion von Benno Schildknecht, Andreas Guhl, Josef Gemperle, Daniel Vetterli vom 3. Juli 2024 \"Anpassung Thurgauer Enteignungsgesetz TG EntG\"","2024/MO 5/39"
"Vetterli","Daniel","Rheinklingen","SVP","Motion von Benno Schildknecht, Andreas Guhl, Josef Gemperle, Daniel Vetterli vom 3. Juli 2024 \"Anpassung Thurgauer Enteignungsgesetz TG EntG\"","2024/MO 5/39"
"Leuthold","Stefan","Frauenfeld","GLP","Motion von Stefan Leuthold, Patrick Siegenthaler, Marina Bruggmann, Sandra Reinhart, Christian Mader, Robin Spiri vom 3. Juli 2024 \"Wahlen und Abstimmungen im öffentlichen Raum sichtbar machen\"","2024/MO 6/40"
"Siegenthaler","Patrick","Herdern","Die Mitte","Motion von Stefan Leuthold, Patrick Siegenthaler, Marina Bruggmann, Sandra Reinhart, Christian Mader, Robin Spiri vom 3. Juli 2024 \"Wahlen und Abstimmungen im öffentlichen Raum sichtbar machen\"","2024/MO 6/40"
"Bruggmann","Marina","Salmsach","SP","Motion von Stefan Leuthold, Patrick Siegenthaler, Marina Bruggmann, Sandra Reinhart, Christian Mader, Robin Spiri vom 3. Juli 2024 \"Wahlen und Abstimmungen im öffentlichen Raum sichtbar machen\"","2024/MO 6/40"
"Reinhart","Sandra","Amriswil","GRÜNE","Motion von Stefan Leuthold, Patrick Siegenthaler, Marina Bruggmann, Sandra Reinhart, Christian Mader, Robin Spiri vom 3. Juli 2024 \"Wahlen und Abstimmungen im öffentlichen Raum sichtbar machen\"","2024/MO 6/40"
"Mader","Christian","Frauenfeld","EDU","Motion von Stefan Leuthold, Patrick Siegenthaler, Marina Bruggmann, Sandra Reinhart, Christian Mader, Robin Spiri vom 3. Juli 2024 \"Wahlen und Abstimmungen im öffentlichen Raum sichtbar machen\"","2024/MO 6/40"
"Spiri","Robin","Amriswil","Aufrecht","Motion von Stefan Leuthold, Patrick Siegenthaler, Marina Bruggmann, Sandra Reinhart, Christian Mader, Robin Spiri vom 3. Juli 2024 \"Wahlen und Abstimmungen im öffentlichen Raum sichtbar machen\"","2024/MO 6/40"
"Macedo","Gabriel",,"FDP","Interpellation von Gabriel Macedo, Simon Wolfer, Thomas Niederberger, Roger Martin, René Walther, Anders Stokholm, Markus Birk vom 14. August 2024 \"Wirkung des kantonalen Finanzausgleichs\"","2024/IN 3/42"
"Wolfer","Simon",,"Die Mitte","Interpellation von Gabriel Macedo, Simon Wolfer, Thomas Niederberger, Roger Martin, René Walther, Anders Stokholm, Markus Birk vom 14. August 2024 \"Wirkung des kantonalen Finanzausgleichs\"","2024/IN 3/42"
"Niederberger","Thomas",,"FDP","Interpellation von Gabriel Macedo, Simon Wolfer, Thomas Niederberger, Roger Martin, René Walther, Anders Stokholm, Markus Birk vom 14. August 2024 \"Wirkung des kantonalen Finanzausgleichs\"","2024/IN 3/42"
"Martin","Roger",,"Die Mitte","Interpellation von Gabriel Macedo, Simon Wolfer, Thomas Niederberger, Roger Martin, René Walther, Anders Stokholm, Markus Birk vom 14. August 2024 \"Wirkung des kantonalen Finanzausgleichs\"","2024/IN 3/42"
"Walther","René",,"FDP","Interpellation von Gabriel Macedo, Simon Wolfer, Thomas Niederberger, Roger Martin, René Walther, Anders Stokholm, Markus Birk vom 14. August 2024 \"Wirkung des kantonalen Finanzausgleichs\"","2024/IN 3/42"
"Stokholm","Anders",,"FDP","Interpellation von Gabriel Macedo, Simon Wolfer, Thomas Niederberger, Roger Martin, René Walther, Anders Stokholm, Markus Birk vom 14. August 2024 \"Wirkung des kantonalen Finanzausgleichs\"","2024/IN 3/42"
"Birk","Markus",,"SP","Interpellation von Gabriel Macedo, Simon Wolfer, Thomas Niederberger, Roger Martin, René Walther, Anders Stokholm, Markus Birk vom 14. August 2024 \"Wirkung des kantonalen Finanzausgleichs\"","2024/IN 3/42"
"Lei","Hermann",,"SVP","Einfache Anfrage von Hermann Lei vom 14. August 2024 \"Umsetzung Windenergie im Thurgau\"","2024/EA 9/43"
"Macedo","Gabriel",,"FDP","Einfache Anfrage von Gabriel Macedo vom 14. August 2024 \"Negative Auswirkungen einer nationalen Erbschaftssteuer auf Familienunternehmen im Kanton Thurgau\"","2024/EA 10/44"
"Ammann","Reto",,"GLP","Interpellation von Reto Ammann, Marcel Preiss, Daniel Eugster, Nicole Zeitner, Attila Wohlrab, Felix Meier, Gabriel Walzthöny, Marcel Wittwer, Aline Indergand vom 14. August 2024 \"Handlungsalternativen im Investitionsbereich prüfen\"","2024/IN 4/45"
"Preiss","Marcel",,"GLP","Interpellation von Reto Ammann, Marcel Preiss, Daniel Eugster, Nicole Zeitner, Attila Wohlrab, Felix Meier, Gabriel Walzthöny, Marcel Wittwer, Aline Indergand vom 14. August 2024 \"Handlungsalternativen im Investitionsbereich prüfen\"","2024/IN 4/45"
"Eugster","Daniel",,"FDP","Interpellation von Reto Ammann, Marcel Preiss, Daniel Eugster, Nicole Zeitner, Attila Wohlrab, Felix Meier, Gabriel Walzthöny, Marcel Wittwer, Aline Indergand vom 14. August 2024 \"Handlungsalternativen im Investitionsbereich prüfen\"","2024/IN 4/45"
"Zeitner","Nicole",,"GLP","Interpellation von Reto Ammann, Marcel Preiss, Daniel Eugster, Nicole Zeitner, Attila Wohlrab, Felix Meier, Gabriel Walzthöny, Marcel Wittwer, Aline Indergand vom 14. August 2024 \"Handlungsalternativen im Investitionsbereich prüfen\"","2024/IN 4/45"
"Wohlrab","Attila",,"FDP","Interpellation von Reto Ammann, Marcel Preiss, Daniel Eugster, Nicole Zeitner, Attila Wohlrab, Felix Meier, Gabriel Walzthöny, Marcel Wittwer, Aline Indergand vom 14. August 2024 \"Handlungsalternativen im Investitionsbereich prüfen\"","2024/IN 4/45"
"Meier","Felix",,"SP","Interpellation von Reto Ammann, Marcel Preiss, Daniel Eugster, Nicole Zeitner, Attila Wohlrab, Felix Meier, Gabriel Walzthöny, Marcel Wittwer, Aline Indergand vom 14. August 2024 \"Handlungsalternativen im Investitionsbereich prüfen\"","2024/IN 4/45"
"Walzthöny","Gabriel",,"Die Mitte","Interpellation von Reto Ammann, Marcel Preiss, Daniel Eugster, Nicole Zeitner, Attila Wohlrab, Felix Meier, Gabriel Walzthöny, Marcel Wittwer, Aline Indergand vom 14. August 2024 \"Handlungsalternativen im Investitionsbereich prüfen\"","2024/IN 4/45"
"Wittwer","Marcel",,"EDU","Interpellation von Reto Ammann, Marcel Preiss, Daniel Eugster, Nicole Zeitner, Attila Wohlrab, Felix Meier, Gabriel Walzthöny, Marcel Wittwer, Aline Indergand vom 14. August 2024 \"Handlungsalternativen im Investitionsbereich prüfen\"","2024/IN 4/45"
"Indergand","Aline",,"SVP","Interpellation von Reto Ammann, Marcel Preiss, Daniel Eugster, Nicole Zeitner, Attila Wohlrab, Felix Meier, Gabriel Walzthöny, Marcel Wittwer, Aline Indergand vom 14. August 2024 \"Handlungsalternativen im Investitionsbereich prüfen\"","2024/IN 4/45"
"Macedo","Gabriel",,"FDP","Einfache Anfrage von Gabriel Macedo, Andreas Opprecht vom 28. August 2024 \"Immer weniger Traulokale im Thurgau\"","2024/EA 11/47"
"Opprecht","Andreas",,"FDP","Einfache Anfrage von Gabriel Macedo, Andreas Opprecht vom 28. August 2024 \"Immer weniger Traulokale im Thurgau\"","2024/EA 11/47"
"Siegenthaler","Patrick",,"Die Mitte","Einfache Anfrage von Patrick Siegenthaler, Christoph Regli vom 28. August 2024 \"Soll künftig eine Mindestanzahl von Mitunterzeichnende erforderlich sein, um einen Vorstoss überweisen zu können?\"","2024/EA 12/48"
"Regli","Christoph",,"Die Mitte","Einfache Anfrage von Patrick Siegenthaler, Christoph Regli vom 28. August 2024 \"Soll künftig eine Mindestanzahl von Mitunterzeichnende erforderlich sein, um einen Vorstoss überweisen zu können?\"","2024/EA 12/48"
