"datum_geschaeft_eingang","geschaeftsnummer","grg_nummer","geschaftstitel","geschaftsart","kennung","sachbegriff_grgeko_1","sachbegriff_grgeko_2","status","departement"
2024-09-11,"2024/FR 2/41","41","Fragestunde vom 11.09.2024","Fragestunde","FR","10.1 Kantonsverfassung und Staatsverträge",,"abgeschlossen",""
2024-08-14,"2024/IN 3/42","42","Interpellation von Gabriel Macedo, Simon Wolfer, Thomas Niederberger, Roger Martin, René Walther, Anders Stokholm, Markus Birk vom 14. August 2024 \"Wirkung des kantonalen Finanzausgleichs\"","Interpellation","IN","",,"pendent","Departement für Finanzen und Soziales"
2024-08-14,"2024/EA 9/43","43","Einfache Anfrage von Hermann Lei vom 14. August 2024 \"Umsetzung Windenergie im Thurgau\"","Einfache Anfrage","EA","",,"abgeschlossen","Departement für Bau und Umwelt"
2024-08-14,"2024/EA 10/44","44","Einfache Anfrage von Gabriel Macedo vom 14. August 2024 \"Negative Auswirkungen einer nationalen Erbschaftssteuer auf Familienunternehmen im Kanton Thurgau\"","Einfache Anfrage","EA","",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-08-14,"2024/IN 4/45","45","Interpellation von Reto Ammann, Marcel Preiss, Daniel Eugster, Nicole Zeitner, Attila Wohlrab, Felix Meier, Gabriel Walzthöny, Marcel Wittwer, Aline Indergand vom 14. August 2024 \"Handlungsalternativen im Investitionsbereich prüfen\"","Interpellation","IN","13.2 Rechnungswesen, Finanzen, Vermögen, Gebühren",,"pendent","Departement für Bau und Umwelt"
2024-08-28,"2024/WA 17/46","46","Ersatzwahl eines Mitglieds der Rekurskommission in Anwaltssachen für den Rest der Amtsdauer","Wahlgeschäft","WA","17.3 Richterliche Behörden, Anwaltswesen",,"abgeschlossen","Grosser Rat"
2024-08-28,"2024/EA 11/47","47","Einfache Anfrage von Gabriel Macedo, Andreas Opprecht vom 28. August 2024 \"Immer weniger Traulokale im Thurgau\"","Einfache Anfrage","EA","21.1 ZGB, EG/ZGB, Vormundschaft, Waisenämter",,"abgeschlossen","Departement für Justiz und Sicherheit"
2024-08-28,"2024/EA 12/48","48","Einfache Anfrage von Patrick Siegenthaler, Christoph Regli vom 28. August 2024 \"Soll künftig eine Mindestanzahl von Mitunterzeichnende erforderlich sein, um einen Vorstoss überweisen zu können?\"","Einfache Anfrage","EA","17.1 Grosser Rat",,"abgeschlossen",""
2024-08-28,"2024/MO 7/49","49","Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Traudi Schönegger, Cornelia Hauser vom 28. August 2024 \"Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV\"","Motion","MO","",,"pendent","Departement für Erziehung und Kultur"
2024-08-28,"2024/IN 5/50","50","Interpellation von Robin Spiri, Jacob Auer, Jost Rüegg, Oliver Martin, Marcel Wittwer, Dean Kradolfer vom 28. August 2024 \"Gewährleistung von Bargeldzahlungen in kantonalen Einrichtungen\"","Interpellation","IN","",,"pendent","Departement für Finanzen und Soziales"
2024-08-28,"2024/IN 6/51","51","Interpellation von Daniel Vetterli, Aline Indergand vom 28. August 2024 \"Handyverbot an Thurgauer Volksschulen\"","Interpellation","IN","",,"pendent","Departement für Erziehung und Kultur"
2024-08-28,"2024/IN 7/52","52","Interpellation von Marion Sontheim, Sandra Stadler, Ciril Schmidiger, Brigitta Engeli vom 28. August 2024 \"KulturLegi an den Musikschulen im Thurgau\"","Interpellation","IN","",,"pendent","Departement für Erziehung und Kultur"
2024-09-30,"2024/WA 18/53","53","Amtsgelübde von Kantonsrat Markus Bürgi","Wahlgeschäft","WA","17.1 Grosser Rat",,"abgeschlossen","Grosser Rat"
2024-10-23,"2024/EB 1/54","54","Kantonsbürgerrechtsgesuche","Einbürgerungsgesuch","EB","14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,"abgeschlossen","Departement für Justiz und Sicherheit"
2024-09-11,"2024/EA 13/55","55","Einfache Anfrage von Gabriel Walzthöny vom 11. September 2024 \"Ausgewogene und sachliche Information bei Abstimmungen\"","Einfache Anfrage","EA","16.2 Abstimmungen",,"abgeschlossen","Staatskanzlei"
2024-09-11,"2024/EA 14/56","56","Einfache Anfrage von Brigitta Engeli-Sager vom 11. September 2024 \"Schule und Digitalität - Wohin steuert das Amt für Volksschule?\"","Einfache Anfrage","EA","41.0 Unterrichtswesen, Lehrerorganisation und -fortbildung",,"abgeschlossen","Departement für Erziehung und Kultur"
2024-09-11,"2024/EA 15/57","57","Einfache Anfrage von Mathias Dietz vom 11. September 2024 \"Mehr Sicherheit auf dem Schulweg - Leuchtwesten für die Thurgauer Schülerinnen und Schüler\"","Einfache Anfrage","EA","41.0 Unterrichtswesen, Lehrerorganisation und -fortbildung",,"abgeschlossen","Departement für Erziehung und Kultur"
2024-09-11,"2024/EA 16/58","58","Einfache Anfrage von Ruedi Zbinden, Heinz Keller, Raffaella Strähl-D'Ambrosio, Claude Brunner vom 11. September 2024 \"RRB 582 vom 27. August 2024 Ausbildungskapazitäten gemäss TG KVG und Bundesgesetz über die Förderung der Ausbildung im Bereich der Pflege\"","Einfache Anfrage","EA","83.2 Kranken- und Unfallversicherung, Vereinbarungen",,"abgeschlossen","Departement für Finanzen und Soziales"
2024-09-11,"2024/MO 8/59","59","Motion von Kenny Greber, Turi Schallenberg, Cornelia Hauser, Ulrich Graf, Corinna Pasche-Strasser, Mathias Dietz, Celina Hug, Cornelia Hasler-Roost, Robin Spiri vom 11. September 2024 \"Vermögensfreibetrag in der Sozialhilfe\"","Motion","MO","",,"pendent","Departement für Finanzen und Soziales"
